id,in_b,in_d,in_dd,in_sigma_m,in_sigma_w,alpha,beta,gamma,pop_error,pcf_error
92,1.1,0.0,0.75,2.4000000000000004,0.7,2.644248545677489,-0.32462916558970595,-1.3196193800877833,0.9997213931067801,0.03941661729804997
93,1.1,0.0,0.75,2.4000000000000004,0.8,2.689273448324999,-0.41530611129990536,-1.2739673370250937,0.9997320660530437,0.043855999898385865
94,1.1,0.0,0.75,2.4000000000000004,0.9,2.790546113260006,-0.47826704506815404,-1.312279068191852,0.9997450056607416,0.042016151162636434
95,1.1,0.0,0.75,2.4000000000000004,1.0,2.7682513511519873,-0.5153321238720519,-1.2529192272799357,0.9997574582665394,0.044341964741254854
96,1.1,0.0,0.75,2.5,0.6,2.628818035429316,-0.37143603763783073,-1.2573819977914849,0.9997173205816496,0.040278268528359265
97,1.1,0.0,0.75,2.5,0.7,2.5789651026716434,-0.23753380351714173,-1.3414312991545014,0.9996872852824409,0.04066956492756175
98,1.1,0.0,0.75,2.5,0.8,2.759767049182116,-0.4135371040009597,-1.3462299451811561,0.9996898248635396,0.04302476031098256
99,1.1,0.0,0.75,2.5,0.9,2.797204599334018,-0.4762086345615439,-1.3209959647724745,0.9997044070363209,0.041021264049528786
100,1.1,0.0,0.75,2.5,1.0,2.807826270084474,-0.5742617744237805,-1.233564495660693,0.9997095200202362,0.045276966646466396
101,1.1,0.1,0.75,2.1,0.6,2.634952757749269,-0.3469582261408176,-1.287994531608451,0.9997136247562631,0.04329589618753888
102,1.1,0.1,0.75,2.1,0.7,2.7708519707359556,-0.49432779050277736,-1.2765241802331782,0.9997267164177657,0.04736906032150232
103,1.1,0.1,0.75,2.1,0.8,2.7484647757437797,-0.4911783289183789,-1.2572864468254006,0.9997561593589013,0.04719960118066821
104,1.1,0.1,0.75,2.1,0.9,3.0504388558679008,-0.5256371862030425,-1.5248016696648585,0.9997797869464521,0.050174263813057327
105,1.1,0.1,0.75,2.1,1.0,2.876068148068057,-0.7552855373709342,-1.120782610697123,0.9997626359196055,0.04749770152223059
106,1.1,0.1,0.75,2.2,0.6,2.617132622497537,-0.2761678857483675,-1.3409647367491695,0.999716989758991,0.04546218025493793
107,1.1,0.1,0.75,2.2,0.7,2.8028072231999066,-0.5014375024235631,-1.3013697207763437,0.9997161199923107,0.04717904875937907
108,1.1,0.1,0.75,2.2,0.8,2.7753593925103264,-0.4572483537125671,-1.3181110387977593,0.9997511228235018,0.048801526215574154
109,1.1,0.1,0.75,2.2,0.9,2.81324360189918,-0.452269545813224,-1.3609740560859562,0.9997717506048279,0.044736168650031376
110,1.1,0.1,0.75,2.2,1.0,2.854282733472068,-0.46970709642572595,-1.384575637046342,0.9997838688141244,0.047149141585560814
111,1.1,0.1,0.75,2.3000000000000003,0.6,2.5453017984839637,-0.276326480227958,-1.2689753182560057,0.9996994020339597,0.042792283287412684
112,1.1,0.1,0.75,2.3000000000000003,0.7,2.840009575183967,-0.4713352685788423,-1.3686743066051246,0.9997103768115848,0.04254312252907352
113,1.1,0.1,0.75,2.3000000000000003,0.8,2.6908201669072094,-0.4008307512236762,-1.2899894156835332,0.9997382744781556,0.046127360718037656
114,1.1,0.1,0.75,2.3000000000000003,0.9,2.716205596546159,-0.428884250088062,-1.287321346458097,0.9997555756629781,0.04763760146425557
115,1.1,0.1,0.75,2.3000000000000003,1.0,2.0266017765508257,-0.31378305658689803,-0.7128187199639276,0.9997514606979966,0.05119470440098289
116,1.1,0.1,0.75,2.4000000000000004,0.6,2.228367636666299,-0.185649226687507,-1.0427184099787918,0.9996814178226433,0.045535439502968574
117,1.1,0.1,0.75,2.4000000000000004,0.7,2.7998841324160373,-0.307364515206231,-1.4925196172098063,0.9997379600164342,0.04756694216697249
118,1.1,0.1,0.75,2.4000000000000004,0.8,2.670613227889145,-0.3715395827312163,-1.2990736451579283,0.9997469171990275,0.044478106006300956
119,1.1,0.1,0.75,2.4000000000000004,0.9,2.72202431059542,-0.3261809101980089,-1.395843400397411,0.9997635317797773,0.05094462120274502
120,1.1,0.1,0.75,2.4000000000000004,1.0,3.0862165995142568,-0.5672101154689774,-1.5190064840452793,0.999765614630145,0.04969023021783662
121,1.1,0.1,0.75,2.5,0.6,2.0822800485214477,-0.0711504948791039,-1.0111295536423437,0.9996560402804561,0.043809005403535696
122,1.1,0.1,0.75,2.5,0.7,2.594205871954943,-0.38020775357432673,-1.213998118380616,0.9996207236383614,0.04700179417170814
123,1.1,0.1,0.75,2.5,0.8,2.685479845690531,-0.3398097903260617,-1.3456700553644694,0.9997019307338432,0.04581020684857193
124,1.1,0.1,0.75,2.5,0.9,2.8155023223599738,-0.4125094945063393,-1.4029928278536348,0.9997200097191352,0.047647530269564344
125,1.1,0.1,0.75,2.5,1.0,2.7175687381631493,-0.406460104706468,-1.311108633456681,0.9997354358470516,0.04651901670084619
127,1.1,0.2,0.75,2.1,0.7,2.703249199620367,-0.3702658652960827,-1.3329833343242843,0.9997499193533417,0.050528725993348934
128,1.1,0.2,0.75,2.1,0.8,2.785911873124034,-0.49755577744491114,-1.2883560956791231,0.9997635056102812,0.04969881428046795
129,1.1,0.2,0.75,2.1,0.9,2.756578488614695,-0.44394549765777913,-1.312632990956916,0.9997835783294705,0.05134826240518089
130,1.1,0.2,0.75,2.1,1.0,2.800621925601054,-0.5389808267413296,-1.2616410988597246,0.999791772093287,0.05504940581964646
132,1.1,0.2,0.75,2.2,0.7,2.985252981847544,-0.402451991616843,-1.5828009902307012,0.9997457835285234,0.05125454902925551
133,1.1,0.2,0.75,2.2,0.8,2.6644364299482213,-0.4470567069081937,-1.2173797230400274,0.9997606243919691,0.048745333593642394
134,1.1,0.2,0.75,2.2,0.9,3.025289791872331,-0.49422408380089816,-1.5310657080714327,0.9997783728824925,0.05380165286622986
135,1.1,0.2,0.75,2.2,1.0,2.7612390556991815,-0.5024779542048682,-1.2587611014943134,0.9997758216358807,0.050978189543697414
136,1.1,0.2,0.75,2.3000000000000003,0.6,2.649711026852767,-0.27808790367784225,-1.3716231231749247,0.999703935768151,0.049227065221346934
138,1.1,0.2,0.75,2.3000000000000003,0.8,2.730123183187977,-0.3713616917743638,-1.3587614914136132,0.9997492740576434,0.05094342713531876
139,1.1,0.2,0.75,2.3000000000000003,0.9,2.7343391873223752,-0.4421336461768243,-1.2922055411455509,0.9997754704538926,0.05181166597622732
140,1.1,0.2,0.75,2.3000000000000003,1.0,2.8246405747656644,-0.5891145134286964,-1.2355260613369679,0.9997703232521852,0.05234511323411427
143,1.1,0.2,0.75,2.4000000000000004,0.8,2.7255369052254097,-0.4049087128625747,-1.3206281923628351,0.9997417399676485,0.05622770178191528
144,1.1,0.2,0.75,2.4000000000000004,0.9,2.7894334798831477,-0.3078210561298708,-1.4816124237532773,0.999774537439163,0.05465759165364429
145,1.1,0.2,0.75,2.4000000000000004,1.0,2.684568088390033,-0.5679394017004608,-1.1166286866895725,0.9997669873608565,0.05281688520855578
148,1.1,0.2,0.75,2.5,0.8,2.664899074809214,-0.29923027398649954,-1.3656688008227145,0.9998125581751335,0.0488897036286625
149,1.1,0.2,0.75,2.5,0.9,2.684145404636693,-0.40501046508393906,-1.279134939552754,0.999819792333745,0.05220412640949666
150,1.1,0.2,0.75,2.5,1.0,3.034179720124185,-0.503088639644518,-1.531091080479667,0.9998342245597693,0.05594727520613292
151,1.2,0.0,0.75,2.1,0.6,2.753311174205832,-0.45380409040767433,-1.2995070837981577,0.9997099509955787,0.03570656683611532
152,1.2,0.0,0.75,2.1,0.7,3.039286775445513,-0.5130466460457656,-1.5262401293997476,0.9997515563801538,0.03980782254275948
153,1.2,0.0,0.75,2.1,0.8,3.1077956510855342,-0.5947473842384321,-1.5130482668471017,0.9997655833414222,0.03994458651107796
154,1.2,0.0,0.75,2.1,0.9,2.8819794502529676,-0.5254966652974661,-1.3564827849555017,0.9997791504381022,0.038418888647899024
155,1.2,0.0,0.75,2.1,1.0,2.8574172100810924,-0.6937034766743818,-1.1637137334067105,0.9997780781111877,0.041273330403058514
156,1.2,0.0,0.75,2.2,0.6,2.389369238205906,-0.3694652147796294,-1.0199040234262766,0.9996655447506717,0.039241606402313625
157,1.2,0.0,0.75,2.2,0.7,2.744371087888224,-0.376002946089633,-1.3683681417985907,0.9997458962720978,0.038632222567757904
158,1.2,0.0,0.75,2.2,0.8,3.049649251251453,-0.5397331040142108,-1.5099161472372422,0.9997595693076566,0.0414047484696112
159,1.2,0.0,0.75,2.2,0.9,2.840411390869628,-0.6238878460047017,-1.2165235448649259,0.9997587870723363,0.039485093271597556
160,1.2,0.0,0.75,2.2,1.0,2.9109628980712685,-0.5681431537183782,-1.3428197443528902,0.9997808068301843,0.037665579422130675
161,1.2,0.0,0.75,2.3000000000000003,0.6,2.642610942870359,-0.3731690734276279,-1.269441869442731,0.9996953109036808,0.03715325476261732
162,1.2,0.0,0.75,2.3000000000000003,0.7,2.719623395980783,-0.3753820520442317,-1.3442413439365513,0.9997364289829883,0.03865581837281736
163,1.2,0.0,0.75,2.3000000000000003,0.8,2.749901559621075,-0.4589820533277786,-1.2909195062932965,0.9997409420927279,0.03975594180899594
164,1.2,0.0,0.75,2.3000000000000003,0.9,2.7413298623913516,-0.4596137662156881,-1.2817160961756635,0.999759737981428,0.04059580784679328
165,1.2,0.0,0.75,2.3000000000000003,1.0,2.7578015600663637,-0.44469046084963787,-1.3131110992167259,0.9997742445992247,0.03845533100824459
166,1.2,0.0,0.75,2.4000000000000004,0.6,2.5338391282839807,-0.38128618061877834,-1.1525529476652026,0.9996177804065851,0.03632554793187049
167,1.2,0.0,0.75,2.4000000000000004,0.7,2.839072909659987,-0.4554132302472101,-1.3836596794127773,0.999713645544401,0.03919064409116799
168,1.2,0.0,0.75,2.4000000000000004,0.8,2.7539932297378673,-0.4762032785375452,-1.2777899512003223,0.9997273964366213,0.03796763965962918
169,1.2,0.0,0.75,2.4000000000000004,0.9,2.7906145770067114,-0.5514876084932492,-1.239126968513462,0.999743623836087,0.03888607974860847
170,1.2,0.0,0.75,2.4000000000000004,1.0,2.7649024904727226,-0.5026884958056784,-1.262213994667044,0.9997637923761618,0.03820068696296794
171,1.2,0.0,0.75,2.5,0.6,2.651460877397623,-0.29104291778995883,-1.360417959607664,0.9996654697254755,0.036929500562563944
172,1.2,0.0,0.75,2.5,0.7,2.692013298456108,-0.30772078522150464,-1.3842925132346038,0.9997065953338145,0.04059099481841703
173,1.2,0.0,0.75,2.5,0.8,2.717505032677403,-0.3660723260681399,-1.351432706609263,0.9997076257561622,0.03948142759625191
174,1.2,0.0,0.75,2.5,0.9,2.7409212255226354,-0.38197790045994645,-1.358943325062689,0.9997232483446287,0.036644422204146536
175,1.2,0.0,0.75,2.5,1.0,2.687887495907886,-0.3834538937296483,-1.3044336021782377,0.9997407273446028,0.041667147556749724
176,1.2,0.1,0.75,2.1,0.6,2.7051151285317845,-0.38579652091734573,-1.319318607614439,0.9997240688508051,0.043564016860884534
177,1.2,0.1,0.75,2.1,0.7,3.0776719563463133,-0.5618431481165006,-1.5158288082298128,0.9997426235760063,0.04140261258477627
178,1.2,0.1,0.75,2.1,0.8,2.773991955038838,-0.5417459011084899,-1.232246053930348,0.9997514176018399,0.04373718432550449
179,1.2,0.1,0.75,2.1,0.9,3.1042460713659543,-0.7189019137142622,-1.3853441576516923,0.99976122055378,0.0455724625646989
180,1.2,0.1,0.75,2.1,1.0,3.053063646222633,-0.6591202759773492,-1.3939433702452837,0.9997767865984353,0.04329476624375243
181,1.2,0.1,0.75,2.2,0.6,2.4877889752511626,-0.2742637187012526,-1.2135252565499104,0.9997244687767564,0.04521354038542613
182,1.2,0.1,0.75,2.2,0.7,2.7374690431371844,-0.3905627592051925,-1.3469062839319923,0.9997456277911012,0.042805093188619414
183,1.2,0.1,0.75,2.2,0.8,2.9981049007336784,-0.5257316739986434,-1.4723732267350351,0.9997572404278421,0.04466372902593761
184,1.2,0.1,0.75,2.2,0.9,2.9029913219928707,-0.5264495021236144,-1.3765418198692565,0.9997616059995018,0.04318833312933166
185,1.2,0.1,0.75,2.2,1.0,2.988597350033523,-0.6375978901798358,-1.3509994598536872,0.999773193289047,0.045083058970890495
186,1.2,0.1,0.75,2.3000000000000003,0.6,2.455874294096992,-0.38802717477170967,-1.0678471193252825,0.999625689168453,0.03947309311952722
187,1.2,0.1,0.75,2.3000000000000003,0.7,2.423638125161172,-0.35928201232755524,-1.064356112833617,0.999713276555356,0.03914918767131271
188,1.2,0.1,0.75,2.3000000000000003,0.8,2.785869460877433,-0.46784152095544157,-1.3180279399219914,0.9997485473460102,0.04092495074383792
189,1.2,0.1,0.75,2.3000000000000003,0.9,2.8224372505271016,-0.622117936528911,-1.2003193139981903,0.9997424763109822,0.04501521664083935
190,1.2,0.1,0.75,2.3000000000000003,1.0,2.8577612010181817,-0.4534503388392213,-1.40431086217896,0.9997761943111002,0.04573222733498028
191,1.2,0.1,0.75,2.4000000000000004,0.6,2.614074359931243,-0.3937136812524658,-1.2203606786787773,0.9996431419767867,0.045312701673524816
192,1.2,0.1,0.75,2.4000000000000004,0.7,2.6799174190213306,-0.34011885463041885,-1.339798564390912,0.9997325017680112,0.043510840837710285
193,1.2,0.1,0.75,2.4000000000000004,0.8,2.766457015730571,-0.5217799725149216,-1.2446770432156495,0.9997260752946094,0.044561903692684465
